user_id,user_name,drinking_usage_litres,bathing_usage_litres,cooking_usage_litres,washing_usage_litres,other_usage_litres,total_usage_litres,Water_Usage_Category
47,Pihu Chandran,1.16,57.14,31.33,17.96,39.62,147.21,High
48,Samar Acharya,2.52,57.22,56.81,36.71,37.51,190.77,High
49,Vanya Dhar,3.93,26.57,25.96,11.96,17.88,86.3,Low
50,Indranil Tank,3.26,58.46,29.22,70.46,13.14,174.54,High
51,Arnav Sha,3.22,45.5,36.28,70.2,20.22,175.42,High
52,Uthkarsh Suri,3.05,34.28,7.56,60.34,23.51,128.74,Normal
53,Mannat Bal,3.91,58.34,34.08,12.2,27.03,135.56,High
54,Umang Das,2.58,14.91,47.97,26.86,20.21,112.53,Normal
55,Shanaya Venkataraman,1.95,11.3,54.88,45.56,31.88,145.57,High
56,Indrans Deol,4.15,17.83,7.52,18.26,39.39,87.15,Low
57,Yuvaan Boase,3.87,45.01,46.45,58.42,39.81,193.56,High
58,Romil Chakraborty,4.4,48.92,34.28,9.48,33.93,131.01,Normal
59,Anahita Ravel,2.52,43.88,47.2,73.52,3.39,170.51,High
60,Hunar Sachar,3.87,31.29,22.05,32.58,24.77,114.56,Normal
61,Anika Kumar,3.26,21.3,43.36,45.61,23.03,136.56,High
62,Shayak Bassi,2.96,24.1,44.57,39.49,14.59,125.71,Normal
63,Rasha Sundaram,4.55,52.87,29.89,79.05,15.18,181.54,High
64,Navya Vasa,3.34,29.39,39.91,67.92,32.62,173.18,High
65,Kismat Thakkar,2.94,48.8,9.85,72.8,17.56,151.95,High
66,Ivana Iyengar,3.63,6.32,59.19,66.75,12.46,148.35,High
67,Taimur Ramanathan,1.01,49.79,55.41,7.15,32.29,145.65,High
68,Sara Goda,2.82,7.41,42.7,47.4,18.71,119.04,Normal
69,Anya Hans,2.95,17.16,30.04,25.97,31.34,107.46,Normal
70,Renee Bath,3.44,14.7,57.67,66.58,31.54,173.93,High
71,Rati Dua,1.23,23.9,53.35,49.62,6.07,134.17,Normal
72,Devansh Kapadia,1.38,20.45,27.43,6.11,12.45,67.82,Low
73,Shray Jayaraman,3.76,43.95,15.97,64.21,36.26,164.15,High
74,Madhup Batra,2.4,10.31,29.58,46.69,10.36,99.34,Low
75,Aayush Shenoy,3.43,25.62,39.74,62.83,25.73,157.35,High
76,Purab Viswanathan,2.47,53.5,51.14,29.44,8.82,145.37,High
77,Zeeshan Shere,1.87,17.5,19.65,17.46,3.83,60.31,Low
78,Anahi Sachar,3.65,49.47,51.97,28.64,38.86,172.59,High
79,Navya Doshi,3.58,21.04,32.88,33.6,23.11,114.21,Normal
80,Kartik Madan,3.32,48.22,59.86,16.01,17.19,144.6,High
81,Samarth Shenoy,2.34,22.34,27.44,73.83,35.31,161.26,High
82,Samar Chahal,4.55,58.86,20.11,65.02,9.13,157.67,High
83,Mamooty Kata,1.28,49.87,44.46,42.93,13.44,151.98,High
84,Saira Comar,2.34,18.34,26.12,33.71,2.14,82.65,Low
85,Lavanya Kurian,3.93,41.43,16.08,63.06,3.22,127.72,Normal
86,Madhav Butala,2.7,10.15,40.32,67.67,2.14,122.98,Normal
87,Neysa Bir,2.31,41.98,35.84,43.84,11.67,135.64,High
88,Samar Gour,3.66,28.12,49.8,60.99,24.21,166.78,High
89,Pranay Varma,1.72,14.99,49.86,43.07,29.0,138.64,High
90,Baiju Balan,1.52,10.9,42.02,28.43,19.54,102.41,Normal
91,Oorja Goyal,4.33,45.86,28.09,77.65,21.74,177.67,High
92,Nehmat Yohannan,2.78,17.46,24.44,63.46,28.72,136.86,High
93,Samarth Bassi,4.38,56.61,41.83,7.18,4.75,114.75,Normal
94,Sana Majumdar,3.47,21.03,47.39,29.38,16.57,117.84,Normal
95,Kavya Taneja,2.7,13.0,35.85,54.21,18.0,123.76,Normal
96,Miraan Mannan,4.85,20.64,22.96,78.16,16.76,143.37,High
97,Samarth Sampath,1.15,37.28,20.82,42.88,33.89,136.02,High
98,Samiha Shan,3.37,12.45,30.64,30.6,15.92,92.98,Low
99,Dhanush Maharaj,4.88,29.48,22.3,54.72,37.08,148.46,High
100,Rhea Sama,1.4,21.13,13.74,70.17,39.18,145.62,High
1,Charvi Cherian,4.59,25.66,18.95,21.58,32.88,103.66,Normal
2,Romil Khosla,2.25,39.91,31.48,69.92,26.14,169.7,High
3,Keya Sharaf,2.42,39.13,41.67,28.92,28.07,140.21,High
4,Dhruv Sankaran,2.18,21.91,13.32,35.73,24.13,97.27,Low
5,Indrans Bhavsar,2.74,19.2,20.37,61.88,27.49,131.68,Normal
6,Tejas Lalla,1.12,30.91,49.69,8.95,5.09,95.76,Low
7,Vivaan Vaidya,3.78,39.66,48.44,57.68,12.8,162.36,High
8,Khushi Chandran,1.93,23.04,37.19,49.42,20.28,131.86,Normal
9,Chirag Dugal,1.68,59.67,57.82,13.72,23.6,156.49,High
10,Kismat Bhalla,2.65,47.75,8.93,73.16,16.82,149.31,High
11,Alia D’Alia,4.9,44.05,58.05,51.42,32.4,190.82,High
12,Nitya Dyal,4.03,35.08,49.45,75.03,15.02,178.61,High
13,Anaya Choudhary,3.78,25.34,41.48,54.48,14.6,139.68,High
14,Jiya Sandal,4.93,39.42,51.05,75.15,12.0,182.55,High
15,Tara Borra,3.43,36.1,6.52,25.83,38.43,110.31,Normal
16,Kiaan Cherian,3.78,19.56,47.11,65.6,21.76,157.81,High
17,Adira Lad,2.73,8.1,49.99,39.27,13.16,113.25,Normal
18,Reyansh Aggarwal,1.25,49.39,23.33,76.93,24.75,175.65,High
19,Ishaan Golla,3.29,38.98,46.88,61.65,33.46,184.26,High
20,Vihaan Kuruvilla,4.05,59.43,48.37,23.57,16.4,151.82,High
21,Madhav Swaminathan,2.36,48.98,59.69,34.51,29.54,175.08,High
22,Reyansh Dasgupta,4.14,58.55,7.7,68.64,6.88,145.91,High
23,Ryan Tata,1.45,21.66,14.09,65.22,11.18,113.6,Normal
24,Damini Kalita,1.14,57.37,53.94,68.37,35.11,215.93,High
25,Neysa Dhar,3.06,59.64,7.26,17.7,30.61,118.27,Normal
26,Arnav Chauhan,2.07,35.94,32.59,18.96,6.99,96.55,Low
27,Rania Rastogi,3.74,58.17,17.45,45.18,15.08,139.62,High
28,Indrajit Ganguly,1.38,20.85,16.42,15.25,39.77,93.67,Low
29,Akarsh Warrior,2.35,22.55,39.34,18.21,24.37,106.82,Normal
30,Ivan Sheth,1.94,26.72,44.72,72.81,34.36,180.55,High
31,Miraan Wali,3.67,51.73,30.64,36.19,34.64,156.87,High
32,Akarsh Doshi,4.78,56.06,17.82,17.8,28.39,124.85,Normal
33,Sumer Ratti,1.51,9.73,25.31,71.0,4.33,111.88,Normal
34,Adah Subramaniam,4.5,40.82,7.23,17.03,39.0,108.58,Normal
35,Oorja Kashyap,4.89,23.16,15.71,19.84,23.75,87.35,Low
36,Misha Singhal,3.16,15.53,43.55,34.66,18.53,115.43,Normal
37,Yuvaan Lal,4.04,40.34,20.31,16.69,8.77,90.15,Low
38,Vritika Sibal,1.25,31.35,13.46,33.91,8.24,88.21,Low
39,Shaan Bassi,3.94,10.37,34.3,64.8,2.25,115.66,Normal
40,Rohan Roy,3.97,16.18,34.9,18.73,3.5,77.28,Low
41,Kabir Tank,1.79,25.19,25.59,58.97,5.45,116.99,Normal
42,Anya Wagle,2.88,56.13,31.91,67.26,22.02,180.2,High
43,Kashvi Mandal,4.92,24.89,18.16,20.87,36.94,105.78,Normal
44,Eva Ganesh,3.07,15.06,54.9,39.2,30.28,142.51,High
45,Faiyaz Choudhry,3.79,30.75,35.94,64.84,10.6,145.92,High
46,Suhana Babu,2.71,56.54,41.54,50.65,8.59,160.03,High
47,Pihu Chandran,2.89,45.77,20.59,32.4,2.42,104.07,Normal
48,Samar Acharya,1.83,24.18,7.55,12.84,3.52,49.92,Low
49,Vanya Dhar,2.2,16.04,42.67,41.01,12.08,114.0,Normal
50,Indranil Tank,1.8,12.45,53.06,62.46,18.51,148.28,High
51,Arnav Sha,1.65,53.47,38.96,58.97,24.55,177.6,High
52,Uthkarsh Suri,3.93,27.16,14.15,51.66,30.19,127.09,Normal
53,Mannat Bal,4.18,59.36,22.53,70.81,22.68,179.56,High
54,Umang Das,1.07,20.95,11.5,39.1,1.25,73.87,Low
55,Shanaya Venkataraman,3.32,33.13,42.03,54.79,34.26,167.53,High
56,Indrans Deol,1.95,31.74,12.21,69.98,2.91,118.79,Normal
57,Yuvaan Boase,2.44,14.2,41.19,77.02,5.63,140.48,High
58,Romil Chakraborty,1.49,7.79,57.07,48.81,11.19,126.35,Normal
59,Anahita Ravel,4.93,32.51,45.19,14.72,13.27,110.62,Normal
60,Hunar Sachar,2.79,43.18,39.67,44.78,5.71,136.13,High
61,Anika Kumar,3.21,44.15,56.45,9.92,2.52,116.25,Normal
62,Shayak Bassi,3.96,58.78,24.57,17.54,25.03,129.88,Normal
63,Rasha Sundaram,4.6,12.78,58.4,62.04,28.92,166.74,High
64,Navya Vasa,2.49,22.73,5.79,61.99,24.99,117.99,Normal
65,Kismat Thakkar,3.18,5.99,28.51,15.87,39.51,93.06,Low
66,Ivana Iyengar,4.8,59.79,43.8,12.09,32.63,153.11,High
67,Taimur Ramanathan,1.37,54.42,22.22,73.33,26.86,178.2,High
68,Sara Goda,2.33,39.49,21.14,40.37,9.24,112.57,Normal
69,Anya Hans,4.97,59.53,59.1,53.35,18.0,194.95,High
70,Renee Bath,1.39,56.05,48.5,74.23,2.84,183.01,High
71,Rati Dua,1.06,34.15,5.77,29.26,33.2,103.44,Normal
72,Devansh Kapadia,4.3,22.69,20.55,39.48,13.94,100.96,Normal
73,Shray Jayaraman,4.7,34.26,8.77,62.8,13.35,123.88,Normal
74,Madhup Batra,1.4,22.32,37.02,78.95,5.08,144.77,High
75,Aayush Shenoy,4.59,49.42,7.31,78.25,19.15,158.72,High
76,Purab Viswanathan,1.87,32.61,12.04,13.61,34.0,94.13,Low
77,Zeeshan Shere,1.67,20.05,38.64,24.41,6.76,91.53,Low
78,Anahi Sachar,1.82,15.14,12.4,30.27,22.26,81.89,Low
79,Navya Doshi,4.56,54.25,59.97,79.55,30.24,228.57,High
80,Kartik Madan,1.62,38.58,5.61,24.75,27.2,97.76,Low
81,Samarth Shenoy,1.94,51.88,10.48,19.03,31.19,114.52,Normal
82,Samar Chahal,1.58,49.08,24.48,19.22,13.08,107.44,Normal
83,Mamooty Kata,4.16,38.98,32.84,43.76,19.49,139.23,High
84,Saira Comar,2.39,43.3,19.92,57.43,11.29,134.33,Normal
85,Lavanya Kurian,1.93,23.67,55.63,61.26,24.41,166.9,High
86,Madhav Butala,4.18,33.75,55.0,51.86,39.1,183.89,High
87,Neysa Bir,4.94,31.59,58.88,54.52,19.27,169.2,High
88,Samar Gour,2.36,48.87,41.81,17.48,4.47,114.99,Normal
89,Pranay Varma,3.97,48.25,59.63,73.3,9.8,194.95,High
90,Baiju Balan,1.18,34.84,17.83,27.73,17.21,98.79,Low
91,Oorja Goyal,1.89,8.95,16.08,36.61,32.11,95.64,Low
92,Nehmat Yohannan,4.07,58.63,20.88,47.41,32.69,163.68,High
93,Samarth Bassi,3.38,14.55,27.88,27.18,1.39,74.38,Low
94,Sana Majumdar,3.69,18.76,34.56,25.33,32.67,115.01,Normal
95,Kavya Taneja,1.38,11.46,59.23,62.66,31.94,166.67,High
96,Miraan Mannan,3.49,57.18,25.73,43.34,9.44,139.18,High
97,Samarth Sampath,3.8,46.79,51.32,47.96,7.73,157.6,High
98,Samiha Shan,4.39,51.09,25.83,16.16,13.26,110.73,Normal
99,Dhanush Maharaj,1.72,12.17,40.22,28.13,24.28,106.52,Normal
100,Rhea Sama,1.54,56.73,7.78,68.46,1.89,136.4,High
1,Charvi Cherian,2.38,9.05,23.36,66.91,14.55,116.25,Normal
2,Romil Khosla,4.47,41.41,57.77,17.23,28.78,149.66,High
3,Keya Sharaf,1.83,49.2,12.97,8.72,22.31,95.03,Low
4,Dhruv Sankaran,2.52,36.01,52.16,58.43,32.55,181.67,High
5,Indrans Bhavsar,2.72,51.9,29.84,31.85,39.12,155.43,High
6,Tejas Lalla,4.86,20.82,52.56,69.41,32.61,180.26,High
7,Vivaan Vaidya,3.65,24.53,33.98,56.55,4.19,122.9,Normal
8,Khushi Chandran,1.99,41.37,53.0,55.11,11.65,163.12,High
9,Chirag Dugal,2.77,7.83,48.54,8.3,26.98,94.42,Low
10,Kismat Bhalla,2.96,14.21,59.67,36.67,34.04,147.55,High
11,Alia D’Alia,4.25,29.99,16.53,45.7,20.65,117.12,Normal
12,Nitya Dyal,3.82,16.92,24.7,69.01,4.53,118.98,Normal
13,Anaya Choudhary,4.49,55.14,38.02,8.52,31.68,137.85,High
14,Jiya Sandal,2.69,18.77,44.27,45.25,20.36,131.34,Normal
15,Tara Borra,1.2,15.66,49.25,15.19,7.29,88.59,Low
16,Kiaan Cherian,4.83,5.91,54.3,19.81,26.27,111.12,Normal
17,Adira Lad,2.04,30.88,12.65,75.18,25.84,146.59,High
18,Reyansh Aggarwal,2.64,9.14,58.07,70.58,24.14,164.57,High
19,Ishaan Golla,4.82,44.94,8.34,52.23,10.31,120.64,Normal
20,Vihaan Kuruvilla,1.5,10.1,40.96,74.5,29.92,156.98,High
21,Madhav Swaminathan,2.44,41.19,22.6,25.08,2.11,93.42,Low
22,Reyansh Dasgupta,3.03,13.84,26.65,71.31,9.37,124.2,Normal
23,Ryan Tata,3.51,38.37,13.45,17.08,8.37,80.78,Low
24,Damini Kalita,1.64,15.36,42.64,10.23,36.72,106.59,Normal
25,Neysa Dhar,3.32,16.21,56.47,70.35,37.12,183.47,High
26,Arnav Chauhan,3.17,57.31,52.42,77.79,1.41,192.1,High
27,Rania Rastogi,1.95,15.49,33.0,22.55,39.4,112.39,Normal
28,Indrajit Ganguly,2.0,55.83,16.81,40.79,7.94,123.37,Normal
29,Akarsh Warrior,2.51,46.51,44.87,25.71,17.22,136.82,High
30,Ivan Sheth,2.19,31.53,55.52,12.47,27.82,129.53,Normal
31,Miraan Wali,3.84,43.08,38.67,79.29,34.35,199.23,High
32,Akarsh Doshi,4.96,42.66,54.78,17.87,6.41,126.68,Normal
33,Sumer Ratti,3.06,56.65,40.07,43.02,18.8,161.6,High
34,Adah Subramaniam,2.89,32.53,12.05,43.35,20.86,111.68,Normal
35,Oorja Kashyap,3.6,40.97,50.83,65.19,14.23,174.82,High
36,Misha Singhal,2.93,58.11,35.73,10.34,10.13,117.24,Normal
37,Yuvaan Lal,1.88,27.59,8.27,16.21,29.25,83.2,Low
38,Vritika Sibal,4.86,52.97,36.35,76.4,38.71,209.29,High
39,Shaan Bassi,3.36,10.39,45.25,6.87,17.77,83.64,Low
40,Rohan Roy,2.58,26.19,17.7,31.13,39.22,116.82,Normal
41,Kabir Tank,5.0,56.31,36.75,7.39,17.5,122.95,Normal
42,Anya Wagle,3.8,12.14,38.39,57.41,12.54,124.28,Normal
43,Kashvi Mandal,4.87,42.45,49.47,23.04,17.65,137.48,High
44,Eva Ganesh,2.06,31.06,35.32,27.54,18.69,114.67,Normal
45,Faiyaz Choudhry,1.33,12.31,23.61,77.83,32.53,147.61,High
46,Suhana Babu,1.47,11.98,35.65,28.23,31.45,108.78,Normal
47,Pihu Chandran,2.21,33.98,12.73,9.69,5.14,63.75,Low
48,Samar Acharya,1.25,5.05,5.55,44.7,6.83,63.38,Low
49,Vanya Dhar,3.09,16.94,24.3,28.53,25.49,98.35,Low
50,Indranil Tank,3.46,32.94,27.35,32.35,8.24,104.34,Normal
51,Arnav Sha,2.49,27.65,33.42,29.15,19.29,112.0,Normal
52,Uthkarsh Suri,4.16,11.56,10.05,57.92,28.03,111.72,Normal
53,Mannat Bal,4.26,33.09,35.41,28.94,30.55,132.25,Normal
54,Umang Das,3.2,55.39,11.19,63.26,24.55,157.59,High
55,Shanaya Venkataraman,1.63,48.94,16.54,46.83,35.93,149.87,High
56,Indrans Deol,1.28,46.97,17.35,13.96,30.99,110.55,Normal
57,Yuvaan Boase,2.89,10.37,14.04,33.9,7.22,68.42,Low
58,Romil Chakraborty,4.94,25.43,36.51,21.73,31.99,120.6,Normal
59,Anahita Ravel,2.8,11.66,40.85,40.59,26.27,122.17,Normal
60,Hunar Sachar,1.63,55.1,26.88,17.78,2.96,104.35,Normal
61,Anika Kumar,2.12,36.96,27.6,78.04,18.12,162.84,High
62,Shayak Bassi,3.38,31.57,14.3,31.61,39.88,120.74,Normal
63,Rasha Sundaram,2.12,47.15,5.09,40.49,1.37,96.22,Low
64,Navya Vasa,3.37,55.26,49.86,72.21,26.72,207.42,High
65,Kismat Thakkar,3.6,39.7,21.01,33.84,25.02,123.17,Normal
66,Ivana Iyengar,3.24,5.71,19.76,48.22,6.97,83.9,Low
67,Taimur Ramanathan,4.85,17.65,7.78,18.36,18.2,66.84,Low
68,Sara Goda,2.22,25.35,16.83,9.61,29.77,83.78,Low
69,Anya Hans,4.66,39.43,36.17,59.84,24.84,164.94,High
70,Renee Bath,3.82,40.1,9.03,26.76,14.27,93.98,Low
71,Rati Dua,1.31,19.54,14.2,67.12,23.56,125.73,Normal
72,Devansh Kapadia,2.85,18.78,23.64,44.56,39.75,129.58,Normal
73,Shray Jayaraman,2.25,10.81,50.36,6.62,5.17,75.21,Low
74,Madhup Batra,2.7,6.98,26.88,42.34,35.94,114.84,Normal
75,Aayush Shenoy,4.8,43.6,12.53,70.6,2.94,134.47,Normal
76,Purab Viswanathan,3.51,53.71,54.71,39.22,10.36,161.51,High
77,Zeeshan Shere,4.31,25.73,59.73,40.98,16.81,147.56,High
78,Anahi Sachar,4.76,31.33,17.31,58.84,15.2,127.44,Normal
79,Navya Doshi,4.54,45.95,34.03,41.65,23.26,149.43,High
80,Kartik Madan,4.7,41.71,22.32,7.46,7.92,84.11,Low
81,Samarth Shenoy,2.52,30.74,40.47,79.32,5.99,159.04,High
82,Samar Chahal,4.58,40.29,51.73,72.42,27.91,196.93,High
83,Mamooty Kata,1.82,54.6,27.18,56.04,32.98,172.62,High
84,Saira Comar,4.57,47.98,25.32,31.59,9.22,118.68,Normal
85,Lavanya Kurian,4.94,55.78,48.45,58.99,8.14,176.3,High
86,Madhav Butala,2.91,35.95,25.52,23.54,8.57,96.49,Low
87,Neysa Bir,2.79,14.18,52.95,44.55,19.09,133.56,Normal
88,Samar Gour,4.63,48.44,27.15,66.25,38.12,184.59,High
89,Pranay Varma,4.29,23.63,50.33,47.83,6.76,132.84,Normal
90,Baiju Balan,2.64,35.85,46.15,23.96,35.61,144.21,High
91,Oorja Goyal,4.0,54.29,23.53,72.69,22.12,176.63,High
92,Nehmat Yohannan,2.88,6.39,7.55,12.71,2.9,32.43,Low
93,Samarth Bassi,2.76,46.25,6.71,28.51,3.71,87.94,Low
94,Sana Majumdar,3.22,50.92,13.21,69.64,28.3,165.29,High
95,Kavya Taneja,1.85,13.11,26.49,36.69,4.1,82.24,Low
96,Miraan Mannan,3.25,49.18,16.14,18.34,7.24,94.15,Low
97,Samarth Sampath,3.87,19.38,53.74,46.48,16.32,139.79,High
98,Samiha Shan,2.95,55.69,34.36,69.64,13.85,176.49,High
99,Dhanush Maharaj,3.01,43.11,21.71,9.74,15.05,92.62,Low
100,Rhea Sama,3.18,25.77,41.48,56.22,2.56,129.21,Normal
1,Charvi Cherian,3.84,35.34,15.6,77.76,28.6,161.14,High
2,Romil Khosla,1.86,13.79,49.84,10.64,39.2,115.33,Normal
3,Keya Sharaf,1.79,55.32,18.91,60.89,15.5,152.41,High
4,Dhruv Sankaran,2.59,24.75,37.0,25.94,10.53,100.81,Normal
5,Indrans Bhavsar,3.42,58.39,7.01,60.33,24.09,153.24,High
6,Tejas Lalla,3.89,43.57,21.79,16.61,10.82,96.68,Low
7,Vivaan Vaidya,1.08,8.96,33.78,65.03,18.97,127.82,Normal
8,Khushi Chandran,1.41,32.94,8.15,46.25,23.25,112.0,Normal
9,Chirag Dugal,2.82,16.17,24.08,30.52,37.85,111.44,Normal
10,Kismat Bhalla,3.13,19.69,9.26,10.64,29.95,72.67,Low
11,Alia D’Alia,2.74,42.61,50.09,30.92,16.57,142.93,High
12,Nitya Dyal,2.69,21.51,34.61,21.51,13.68,94.0,Low
13,Anaya Choudhary,3.0,10.75,34.64,72.05,30.19,150.63,High
14,Jiya Sandal,1.27,17.85,26.68,70.31,12.62,128.73,Normal
15,Tara Borra,2.14,39.63,41.05,27.02,33.05,142.89,High
16,Kiaan Cherian,2.7,5.31,53.71,48.52,26.54,136.78,High
17,Adira Lad,2.71,35.08,28.0,32.75,16.72,115.26,Normal
18,Reyansh Aggarwal,3.66,7.0,48.11,51.83,21.41,132.01,Normal
19,Ishaan Golla,1.58,59.13,55.45,39.26,5.12,160.54,High
20,Vihaan Kuruvilla,4.58,20.85,6.71,37.77,25.15,95.06,Low
21,Madhav Swaminathan,3.85,52.5,59.02,66.67,10.12,192.16,High
22,Reyansh Dasgupta,3.86,32.32,58.15,40.83,12.02,147.18,High
23,Ryan Tata,1.5,53.68,9.71,8.35,29.37,102.61,Normal
24,Damini Kalita,3.3,40.65,29.53,61.18,23.76,158.42,High
25,Neysa Dhar,1.18,35.87,55.11,17.7,4.06,113.92,Normal
26,Arnav Chauhan,3.97,35.8,30.66,39.28,13.35,123.06,Normal
27,Rania Rastogi,1.85,48.92,30.54,5.94,35.27,122.52,Normal
28,Indrajit Ganguly,4.22,18.18,43.72,71.26,6.1,143.48,High
29,Akarsh Warrior,3.35,55.41,32.23,36.48,27.81,155.28,High
30,Ivan Sheth,4.95,28.13,28.42,17.28,26.53,105.31,Normal
31,Miraan Wali,4.15,27.55,17.29,42.95,16.94,108.88,Normal
32,Akarsh Doshi,3.6,47.79,50.54,16.2,12.71,130.84,Normal
33,Sumer Ratti,2.84,10.87,32.87,74.42,6.75,127.75,Normal
34,Adah Subramaniam,4.42,33.23,48.92,33.98,16.63,137.18,High
35,Oorja Kashyap,1.18,38.96,23.83,77.59,8.47,150.03,High
36,Misha Singhal,4.49,57.77,15.33,15.43,4.39,97.41,Low
37,Yuvaan Lal,2.91,12.93,30.63,25.46,17.32,89.25,Low
38,Vritika Sibal,1.44,54.97,17.23,10.55,18.61,102.8,Normal
39,Shaan Bassi,3.65,10.23,46.74,9.07,20.58,90.27,Low
40,Rohan Roy,1.56,56.78,56.23,75.16,28.32,218.05,High
41,Kabir Tank,4.48,54.39,32.61,59.31,26.97,177.76,High
42,Anya Wagle,3.93,54.85,17.17,44.42,20.22,140.59,High
43,Kashvi Mandal,1.28,42.51,14.56,31.05,12.59,101.99,Normal
44,Eva Ganesh,2.59,59.99,11.42,20.31,13.74,108.05,Normal
45,Faiyaz Choudhry,1.88,45.81,33.25,12.41,36.51,129.86,Normal
46,Suhana Babu,2.73,55.71,45.17,24.01,10.27,137.89,High
47,Pihu Chandran,1.09,10.08,5.75,9.21,16.08,42.21,Low
48,Samar Acharya,3.65,36.56,23.56,12.12,14.89,90.78,Low
49,Vanya Dhar,4.77,36.38,55.14,76.69,21.88,194.86,High
50,Indranil Tank,2.76,34.52,30.51,78.42,20.85,167.06,High
51,Arnav Sha,2.51,43.58,38.45,12.33,31.48,128.35,Normal
52,Uthkarsh Suri,2.09,52.06,22.19,56.23,10.53,143.1,High
53,Mannat Bal,2.02,39.07,36.96,63.65,4.11,145.81,High
54,Umang Das,2.06,47.88,30.76,32.39,28.17,141.26,High
55,Shanaya Venkataraman,1.83,51.65,16.39,57.32,23.78,150.97,High
56,Indrans Deol,4.17,41.67,52.18,14.96,28.6,141.58,High
57,Yuvaan Boase,2.52,13.02,10.26,25.08,23.73,74.61,Low
58,Romil Chakraborty,3.02,30.42,12.15,71.0,36.25,152.84,High
59,Anahita Ravel,4.13,7.65,22.08,7.6,39.58,81.04,Low
60,Hunar Sachar,1.25,52.01,39.9,79.49,6.01,178.66,High
61,Anika Kumar,1.05,29.16,42.91,54.3,3.23,130.65,Normal
62,Shayak Bassi,4.9,42.02,56.66,65.31,23.8,192.69,High
63,Rasha Sundaram,3.0,41.08,40.57,57.86,38.69,181.2,High
64,Navya Vasa,2.24,36.84,36.98,79.87,32.8,188.73,High
